,NEIGHBORHOOD_CLUSTER,crime_cnt,ucr-rank_avg,SHIFT_day_rate,SHIFT_evening_rate,SHIFT_midnight_rate,OFFENSE_GROUP_property_rate,OFFENSE_GROUP_violent_rate,METHOD_gun_rate,METHOD_knife_rate,METHOD_others_rate,cluster
0,1,11191,6.074256099,0.3897775,0.383343758,0.226878742,0.868197659,0.131802341,0.027879546,0.019122509,0.952997945,0
1,2,35714,5.979755838,0.367278938,0.443187546,0.189533516,0.830570645,0.169429355,0.04373635,0.032564261,0.92369939,0
2,3,19242,6.150452136,0.318418044,0.397983578,0.283598379,0.862540276,0.137459724,0.036378755,0.021099678,0.942521567,0
3,4,12988,6.073375423,0.342008007,0.556128734,0.101863258,0.948413921,0.051586079,0.008777333,0.006544503,0.984678164,2
4,5,7224,5.98961794,0.383582503,0.470791805,0.145625692,0.923172757,0.076827243,0.009689922,0.010797342,0.979512735,0
5,6,24970,6.096155386,0.371485783,0.422827393,0.205686824,0.911894273,0.088105727,0.013295955,0.011774129,0.974929916,0
6,7,15390,6.157959714,0.354191033,0.445289149,0.200519818,0.87842755,0.12157245,0.03625731,0.019363223,0.944379467,0
7,8,29960,6.018457944,0.332209613,0.474465955,0.193324433,0.89305741,0.10694259,0.01805741,0.019859813,0.962082777,0
8,9,7655,5.969693011,0.383278903,0.444676682,0.172044415,0.842325278,0.157674722,0.049771391,0.03109079,0.919137818,0
9,10,3684,6.380564604,0.496742671,0.426438654,0.076818675,0.957111835,0.042888165,0.013029316,0.004343105,0.982627579,2
10,11,7701,6.15984937,0.386573172,0.535385015,0.078041813,0.947798987,0.052201013,0.010518115,0.007271783,0.982210103,2
11,12,2790,6.166308244,0.441935484,0.469175627,0.088888889,0.949462366,0.050537634,0.008960573,0.008243728,0.982795699,2
12,13,2976,6.423723118,0.534610215,0.390120968,0.075268817,0.969758065,0.030241935,0.005376344,0.004032258,0.990591398,2
13,14,3754,6.173947789,0.462706446,0.42301545,0.114278103,0.952317528,0.047682472,0.009856153,0.006659563,0.983484283,2
14,15,5119,6.211564759,0.455753077,0.442859934,0.10138699,0.943934362,0.056065638,0.012893143,0.006837273,0.980269584,2
15,16,2549,6.380149078,0.482934484,0.378187525,0.138877991,0.920360926,0.079639074,0.035307964,0.009415457,0.955276579,2
16,17,12331,6.110291136,0.39704809,0.434352445,0.168599465,0.852485605,0.147514395,0.053361447,0.022788095,0.923850458,0
17,18,20571,5.864177726,0.40192504,0.409119634,0.188955325,0.793155413,0.206844587,0.065480531,0.039667493,0.894851976,0
18,19,6227,6.105187088,0.394250843,0.410952304,0.194796852,0.822225791,0.177774209,0.073550666,0.032439377,0.894009957,0
