,BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,STORIES,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS, FIREPLACES,USECODE,LANDAREA,SOURCE,CMPLX_NUM,LIVING_GBA
106696,2,0,Forced Air,Y,,4,2,,599900.0,Q,2,,1,,,,,,,,,,16,716,Condominium,5329.0,1084.0
106698,2,0,Forced Air,Y,,4,2,,677900.0,U,2,,1,,,,,,,,,,16,844,Condominium,5329.0,1267.0
106699,2,0,Forced Air,Y,,4,2,,659900.0,U,2,,1,,,,,,,,,,16,763,Condominium,5329.0,1151.0
106700,2,0,Forced Air,Y,,4,2,,645000.0,U,2,,1,,,,,,,,,,16,716,Condominium,5329.0,1080.0
106701,2,0,Forced Air,Y,,4,2,,690900.0,Q,2,,1,,,,,,,,,,16,923,Condominium,5329.0,1405.0
106702,2,0,Forced Air,Y,,4,2,,695000.0,U,2,,1,,,,,,,,,,16,844,Condominium,5329.0,1278.0
106703,2,0,Forced Air,Y,,4,2,,803500.0,U,2,,1,,,,,,,,,,16,918,Condominium,5329.0,1417.0
106704,2,0,Forced Air,Y,,4,2,,642900.0,Q,2,,1,,,,,,,,,,16,716,Condominium,5329.0,1080.0
106705,2,0,Forced Air,Y,,4,2,,765900.0,U,2,,1,,,,,,,,,,16,923,Condominium,5329.0,1405.0
106706,2,0,Forced Air,Y,,4,2,,738400.0,U,2,,1,,,,,,,,,,16,844,Condominium,5329.0,1278.0
106707,2,0,Forced Air,Y,,4,2,,264405.0,Q,1,,1,,,,,,,,,,17,471,Condominium,3175.0,955.0
106708,2,0,Forced Air,Y,,4,2,,274900.0,Q,1,,1,,,,,,,,,,17,471,Condominium,3175.0,950.0
106709,2,0,Forced Air,Y,,4,2,,252500.0,Q,1,,1,,,,,,,,,,17,471,Condominium,3175.0,980.0
106710,2,0,Forced Air,Y,,4,2,,289900.0,Q,1,,1,,,,,,,,,,17,471,Condominium,3175.0,980.0
106712,2,0,Forced Air,Y,,4,2,,265000.0,Q,1,,1,,,,,,,,,,17,471,Condominium,3175.0,950.0
106713,2,0,Forced Air,Y,,4,2,,265000.0,Q,1,,1,,,,,,,,,,17,471,Condominium,3175.0,980.0
106718,1,1,Forced Air,Y,,4,2,,361500.0,U,2,,1,,,,,,,,,,16,788,Condominium,5528.0,777.0
106719,1,1,Forced Air,Y,,4,2,,362500.0,U,2,,1,,,,,,,,,,16,788,Condominium,5528.0,777.0
106720,1,0,Forced Air,Y,,3,1,,305000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106721,1,0,Forced Air,Y,,3,1,,315000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106722,1,0,Forced Air,Y,,3,1,,384000.0,Q,3,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106723,1,0,Forced Air,Y,,3,1,,308000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106724,1,0,Forced Air,Y,,3,1,,315000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106725,1,0,Forced Air,Y,,3,1,,302500.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106726,1,0,Forced Air,Y,,3,1,,247450.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,673.0
106727,1,0,Forced Air,Y,,3,1,,274000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,668.0
106728,1,0,Forced Air,Y,,3,1,,346755.0,Q,3,,1,,,,,,,,,,17,374,Condominium,2661.0,636.0
106729,1,0,Forced Air,Y,,3,1,,378000.0,Q,4,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106730,1,0,Forced Air,Y,,3,1,,305000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,673.0
106731,1,0,Forced Air,Y,,2,0,,203000.0,Q,1,,1,,,,,,,,,,17,274,Condominium,2661.0,533.0
106732,1,0,Forced Air,Y,,4,2,,375000.0,Q,1,,1,,,,,,,,,,17,523,Condominium,2661.0,936.0
106733,1,0,Forced Air,Y,,4,2,,320000.0,Q,1,,1,,,,,,,,,,17,523,Condominium,2661.0,922.0
106734,1,0,Forced Air,Y,,2,0,,202000.0,Q,1,,1,,,,,,,,,,17,274,Condominium,2661.0,486.0
106736,2,0,Forced Air,Y,,4,2,,430000.0,Q,1,,1,,,,,,,,,,17,592,Condominium,2661.0,1069.0
106738,1,0,Forced Air,Y,,4,1,,425000.0,Q,5,,1,,,,,,,,,,17,492,Condominium,2661.0,822.0
106739,1,0,Forced Air,Y,,3,1,,378000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,746.0
106740,1,0,Forced Air,Y,,3,1,,307000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,695.0
106741,1,0,Forced Air,Y,,2,0,,224777.0,Q,1,,1,,,,,,,,,,17,274,Condominium,2661.0,515.0
106742,2,0,Forced Air,Y,,4,2,,452000.0,Q,1,,1,,,,,,,,,,17,592,Condominium,2661.0,1070.0
106743,2,0,Forced Air,Y,,4,2,,433000.0,Q,1,,1,,,,,,,,,,17,592,Condominium,2661.0,1076.0
106745,1,0,Forced Air,Y,,4,1,,402500.0,Q,3,,1,,,,,,,,,,17,492,Condominium,2661.0,901.0
106747,1,0,Forced Air,Y,,3,1,,318000.0,Q,1,,1,,,,,,,,,,17,374,Condominium,2661.0,670.0
106749,1,0,Warm Cool,Y,,3,1,,320000.0,Q,5,,1,,,,,,,,,,17,495,Condominium,2282.0,670.0
106753,1,0,Warm Cool,Y,,3,1,,228000.0,Q,1,,1,,,,,,,,,,17,409,Condominium,2282.0,531.0
106754,1,0,Warm Cool,Y,,2,0,,245000.0,Q,4,,1,,,,,,,,,,17,347,Condominium,2282.0,462.0
106755,1,1,Warm Cool,Y,,3,1,,255000.0,Q,1,,1,,,,,,,,,,17,536,Condominium,2282.0,710.0
106756,1,1,Warm Cool,Y,,5,2,,180000.0,Q,1,,1,,,,,,,,,,17,857,Condominium,2282.0,1138.0
106757,1,0,Warm Cool,Y,,4,1,,234000.0,Q,1,,1,,,,,,,,,,17,668,Condominium,2282.0,889.0
106759,1,0,Warm Cool,Y,,3,1,,235000.0,Q,1,,1,,,,,,,,,,17,668,Condominium,2282.0,890.0
106761,1,1,Warm Cool,Y,,3,1,,339000.0,Q,3,,1,,,,,,,,,,17,536,Condominium,2282.0,718.0
106762,1,0,Warm Cool,Y,,2,0,,180000.0,Q,1,,1,,,,,,,,,,17,347,Condominium,2282.0,461.0
106765,1,0,Warm Cool,Y,,3,1,,200000.0,Q,1,,1,,,,,,,,,,17,495,Condominium,2282.0,670.0
106766,1,0,Warm Cool,Y,,3,1,,289000.0,Q,4,,1,,,,,,,,,,17,495,Condominium,2282.0,670.0
106768,1,0,Warm Cool,Y,,3,1,,236995.0,Q,5,,1,,,,,,,,,,17,285,Condominium,2282.0,527.0
106769,1,0,Warm Cool,Y,,3,1,,219000.0,Q,1,,1,,,,,,,,,,17,409,Condominium,2282.0,531.0
106770,1,0,Warm Cool,Y,,2,0,,273000.0,Q,3,,1,,,,,,,,,,17,347,Condominium,2282.0,462.0
106772,1,1,Warm Cool,Y,,5,2,,390000.0,U,2,,1,,,,,,,,,,17,857,Condominium,2282.0,1138.0
106773,1,1,Warm Cool,Y,,5,2,,349000.0,Q,1,,1,,,,,,,,,,17,857,Condominium,2282.0,1138.0
106775,2,0,Warm Cool,Y,,5,2,,345000.0,Q,1,,1,,,,,,,,,,17,857,Condominium,2282.0,1136.0
106777,1,0,Warm Cool,Y,,2,0,,230000.0,Q,3,,1,,,,,,,,,,17,347,Condominium,2282.0,462.0
106778,1,0,Warm Cool,Y,,2,0,,72500.0,Q,1,,1,,,,,,,,,,17,347,Condominium,2282.0,461.0
106779,1,0,Warm Cool,Y,,3,1,,280000.0,Q,3,,1,,,,,,,,,,17,409,Condominium,2282.0,533.0
106780,1,0,Warm Cool,Y,,4,1,,215000.0,Q,1,,1,,,,,,,,,,17,550,Condominium,2282.0,744.0
106782,1,0,Warm Cool,Y,,3,1,,300000.0,Q,5,,1,,,,,,,,,,17,495,Condominium,2282.0,670.0
106783,1,0,Warm Cool,Y,,3,1,,75000.0,Q,1,,1,,,,,,,,,,17,495,Condominium,2282.0,671.0
106786,1,1,Warm Cool,Y,,3,1,,180000.0,U,1,,1,,,,,,,,,,17,536,Condominium,2282.0,716.0
106787,1,0,Warm Cool,Y,,2,0,,185000.0,Q,2,,1,,,,,,,,,,17,347,Condominium,2282.0,462.0
106788,1,0,Warm Cool,Y,,4,1,,170000.0,U,1,,1,,,,,,,,,,17,668,Condominium,2282.0,889.0
106789,1,1,Warm Cool,Y,,5,2,,325000.0,U,4,,1,,,,,,,,,,17,857,Condominium,2282.0,1138.0
106791,1,0,Warm Cool,Y,,4,1,,279000.0,Q,6,,1,,,,,,,,,,17,668,Condominium,2282.0,890.0
106792,1,0,Warm Cool,Y,,2,0,,157000.0,Q,1,,1,,,,,,,,,,17,347,Condominium,2282.0,461.0
106793,1,1,Warm Cool,Y,,3,1,,205000.0,Q,1,,1,,,,,,,,,,17,536,Condominium,2282.0,730.0
106794,2,0,Forced Air,Y,,4,2,,275000.0,Q,1,,1,,,,,,,,,,16,1138,Condominium,1500.0,925.0
106795,2,0,Forced Air,Y,,6,3,,215000.0,U,1,,1,,,,,,,,,,16,1834,Condominium,1500.0,1274.0
