,AYB,YR_RMDL,EYB,SALEDATE,GIS_LAST_MOD_DTTM
106696,1911.0,2016.0,1919,2016-12-20 00:00:00,2018-07-22 18:01:38
106698,1911.0,2016.0,1919,2017-02-22 00:00:00,2018-07-22 18:01:38
106699,1911.0,2016.0,1919,2016-12-22 00:00:00,2018-07-22 18:01:38
106700,1911.0,2016.0,1919,2016-12-19 00:00:00,2018-07-22 18:01:38
106701,1911.0,2016.0,1919,2017-02-10 00:00:00,2018-07-22 18:01:38
106702,1911.0,2016.0,1919,2016-11-08 00:00:00,2018-07-22 18:01:38
106703,1911.0,2016.0,1919,2016-12-13 00:00:00,2018-07-22 18:01:38
106704,1911.0,2016.0,1919,2016-12-20 00:00:00,2018-07-22 18:01:38
106705,1911.0,2016.0,1919,2017-04-07 00:00:00,2018-07-22 18:01:38
106706,1911.0,2016.0,1919,2016-12-13 00:00:00,2018-07-22 18:01:38
106707,2007.0,,2007,2014-02-20 00:00:00,2018-07-22 18:01:38
106708,2007.0,,2007,2014-04-22 00:00:00,2018-07-22 18:01:38
106709,2007.0,,2007,2013-07-11 00:00:00,2018-07-22 18:01:38
106710,2007.0,,2007,2013-07-10 00:00:00,2018-07-22 18:01:38
106712,2007.0,,2007,2014-03-13 00:00:00,2018-07-22 18:01:38
106713,2007.0,,2007,2013-11-25 00:00:00,2018-07-22 18:01:38
106718,1937.0,2017.0,1937,2017-08-18 00:00:00,2018-07-22 18:01:38
106719,1937.0,2017.0,1937,2017-08-15 00:00:00,2018-07-22 18:01:38
106720,2004.0,,2004,2014-03-31 00:00:00,2018-07-22 18:01:38
106721,2004.0,,2004,2009-10-26 00:00:00,2018-07-22 18:01:38
106722,2004.0,,2004,2017-05-19 00:00:00,2018-07-22 18:01:38
106723,2004.0,,2004,2005-02-04 00:00:00,2018-07-22 18:01:38
106724,2004.0,,2004,2009-10-08 00:00:00,2018-07-22 18:01:38
106725,2004.0,,2004,2009-09-30 00:00:00,2018-07-22 18:01:38
106726,2004.0,,2004,2005-01-04 00:00:00,2018-07-22 18:01:38
106727,2004.0,,2004,2005-01-04 00:00:00,2018-07-22 18:01:38
106728,2004.0,,2004,2014-10-15 00:00:00,2018-07-22 18:01:38
106729,2004.0,,2004,2015-06-22 00:00:00,2018-07-22 18:01:38
106730,2004.0,,2004,2010-05-25 00:00:00,2018-07-22 18:01:38
106731,2004.0,,2004,2009-08-05 00:00:00,2018-07-22 18:01:38
106732,2004.0,,2004,2013-08-19 00:00:00,2018-07-22 18:01:38
106733,2004.0,,2004,2009-03-13 00:00:00,2018-07-22 18:01:38
106734,2004.0,,2004,2005-03-08 00:00:00,2018-07-22 18:01:38
106736,2004.0,,2004,2005-01-04 00:00:00,2018-07-22 18:01:38
106738,2004.0,,2004,2014-10-17 00:00:00,2018-07-22 18:01:38
106739,2004.0,,2004,2005-12-19 00:00:00,2018-07-22 18:01:38
106740,2004.0,,2004,2009-04-29 00:00:00,2018-07-22 18:01:38
106741,2004.0,,2004,2013-03-27 00:00:00,2018-07-22 18:01:38
106742,2004.0,,2004,2005-04-13 00:00:00,2018-07-22 18:01:38
106743,2004.0,,2004,2005-04-13 00:00:00,2018-07-22 18:01:38
106745,2004.0,,2004,2014-07-25 00:00:00,2018-07-22 18:01:38
106747,2004.0,,2004,2005-03-08 00:00:00,2018-07-22 18:01:38
106749,1967.0,,1967,2016-05-23 00:00:00,2018-07-22 18:01:38
106753,1967.0,,1967,2009-07-28 00:00:00,2018-07-22 18:01:38
106754,1967.0,,1967,2017-10-10 00:00:00,2018-07-22 18:01:38
106755,1967.0,,1967,2007-12-14 00:00:00,2018-07-22 18:01:38
106756,1967.0,,1967,2002-07-03 00:00:00,2018-07-22 18:01:38
106757,1967.0,,1967,2009-10-26 00:00:00,2018-07-22 18:01:38
106759,1967.0,,1967,2013-09-25 00:00:00,2018-07-22 18:01:38
106761,1967.0,,1967,2017-10-03 00:00:00,2018-07-22 18:01:38
106762,1967.0,,1967,2005-05-23 00:00:00,2018-07-22 18:01:38
106765,1967.0,,1967,2010-11-16 00:00:00,2018-07-22 18:01:38
106766,1967.0,,1967,2015-05-22 00:00:00,2018-07-22 18:01:38
106768,1967.0,,1967,2016-01-05 00:00:00,2018-07-22 18:01:38
106769,1967.0,,1967,2014-03-20 00:00:00,2018-07-22 18:01:38
106770,1967.0,,1967,2018-05-03 00:00:00,2018-07-22 18:01:38
106772,1967.0,,1967,2018-01-08 00:00:00,2018-07-22 18:01:38
106773,1967.0,,1967,2014-01-22 00:00:00,2018-07-22 18:01:38
106775,1967.0,,1967,2013-02-26 00:00:00,2018-07-22 18:01:38
106777,1967.0,,1967,2016-02-11 00:00:00,2018-07-22 18:01:38
106778,1967.0,,1967,2003-02-06 00:00:00,2018-07-22 18:01:38
106779,1967.0,,1967,2016-09-16 00:00:00,2018-07-22 18:01:38
106780,1967.0,,1967,2004-10-14 00:00:00,2018-07-22 18:01:38
106782,1967.0,,1967,2017-10-23 00:00:00,2018-07-22 18:01:38
106783,1967.0,,1967,1994-05-31 00:00:00,2018-07-22 18:01:38
106786,1967.0,,1967,2010-06-22 00:00:00,2018-07-22 18:01:38
106787,1967.0,,1967,2016-03-18 00:00:00,2018-07-22 18:01:38
106788,1967.0,,1967,2011-04-25 00:00:00,2018-07-22 18:01:38
106789,1967.0,,1967,2016-06-09 00:00:00,2018-07-22 18:01:38
106791,1967.0,,1967,2014-08-04 00:00:00,2018-07-22 18:01:38
106792,1967.0,,1967,2013-05-16 00:00:00,2018-07-22 18:01:38
106793,1967.0,,1967,2011-04-04 00:00:00,2018-07-22 18:01:38
106794,2003.0,,2003,2007-09-21 00:00:00,2018-07-22 18:01:38
106795,2003.0,,2003,2009-08-17 00:00:00,2018-07-22 18:01:38
106798,1991.0,,1900,2009-11-17 00:00:00,2018-07-22 18:01:38
106799,1991.0,,1900,2016-12-13 00:00:00,2018-07-22 18:01:38
106800,1991.0,,1900,2002-02-06 00:00:00,2018-07-22 18:01:38
106801,1991.0,,1900,2007-11-23 00:00:00,2018-07-22 18:01:38
106802,1991.0,,1900,2013-12-02 00:00:00,2018-07-22 18:01:38
106803,1991.0,,1900,2012-07-05 00:00:00,2018-07-22 18:01:38
106804,1991.0,,1900,2002-04-04 00:00:00,2018-07-22 18:01:38
106805,1991.0,,1900,2012-11-20 00:00:00,2018-07-22 18:01:38
106806,1991.0,,1900,2005-04-06 00:00:00,2018-07-22 18:01:38
106807,1991.0,,1900,2018-04-12 00:00:00,2018-07-22 18:01:38
106808,1991.0,,1900,2006-01-10 00:00:00,2018-07-22 18:01:38
106809,1991.0,,1900,2005-01-14 00:00:00,2018-07-22 18:01:38
106810,1991.0,,1900,2004-02-12 00:00:00,2018-07-22 18:01:38
106812,1991.0,,1900,2016-03-01 00:00:00,2018-07-22 18:01:38
106813,1991.0,,1900,2002-01-16 00:00:00,2018-07-22 18:01:38
106814,1991.0,,1900,2004-04-06 00:00:00,2018-07-22 18:01:38
106815,1991.0,,1900,2004-01-30 00:00:00,2018-07-22 18:01:38
106816,1991.0,,1900,2006-12-04 00:00:00,2018-07-22 18:01:38
106817,1991.0,,1900,2006-04-14 00:00:00,2018-07-22 18:01:38
106818,1991.0,,1900,2001-12-19 00:00:00,2018-07-22 18:01:38
106820,1991.0,,1900,2002-06-10 00:00:00,2018-07-22 18:01:38
106821,1991.0,,1900,2005-09-14 00:00:00,2018-07-22 18:01:38
106822,1954.0,2007.0,1954,2017-11-30 00:00:00,2018-07-22 18:01:38
106823,1954.0,2007.0,1954,2007-06-07 00:00:00,2018-07-22 18:01:38
106824,1954.0,2007.0,1954,2007-05-02 00:00:00,2018-07-22 18:01:38
106825,1954.0,2007.0,1954,2007-05-10 00:00:00,2018-07-22 18:01:38
106826,1954.0,2007.0,1954,2007-05-21 00:00:00,2018-07-22 18:01:38
106827,1954.0,2007.0,1954,2015-04-27 00:00:00,2018-07-22 18:01:38
106828,1954.0,2007.0,1954,2007-06-05 00:00:00,2018-07-22 18:01:38
106829,1954.0,2007.0,1954,2007-11-20 00:00:00,2018-07-22 18:01:38
106830,1954.0,2007.0,1954,2007-04-30 00:00:00,2018-07-22 18:01:38
106831,1954.0,2007.0,1954,2013-06-12 00:00:00,2018-07-22 18:01:38
106832,1954.0,2007.0,1954,2007-10-01 00:00:00,2018-07-22 18:01:38
106833,1954.0,2007.0,1954,2007-12-06 00:00:00,2018-07-22 18:01:38
106835,1949.0,2006.0,1949,2006-11-14 00:00:00,2018-07-22 18:01:38
106836,1949.0,2006.0,1949,2006-10-06 00:00:00,2018-07-22 18:01:38
106837,1949.0,2006.0,1949,2006-07-11 00:00:00,2018-07-22 18:01:38
106838,1949.0,2006.0,1949,2017-12-14 00:00:00,2018-07-22 18:01:38
106839,1949.0,2006.0,1949,2006-06-29 00:00:00,2018-07-22 18:01:38
106840,1949.0,2006.0,1949,2013-09-12 00:00:00,2018-07-22 18:01:38
106841,1949.0,2006.0,1949,2016-12-23 00:00:00,2018-07-22 18:01:38
106842,1949.0,2006.0,1949,2009-10-22 00:00:00,2018-07-22 18:01:38
106843,1949.0,2006.0,1949,2016-05-03 00:00:00,2018-07-22 18:01:38
106844,1949.0,2006.0,1949,2006-08-01 00:00:00,2018-07-22 18:01:38
106845,1949.0,2006.0,1949,2006-08-04 00:00:00,2018-07-22 18:01:38
106846,1949.0,2006.0,1949,2006-09-11 00:00:00,2018-07-22 18:01:38
106847,1949.0,2006.0,1949,2012-10-02 00:00:00,2018-07-22 18:01:38
106849,1949.0,2006.0,1949,2007-05-24 00:00:00,2018-07-22 18:01:38
106850,1949.0,2006.0,1949,2009-09-14 00:00:00,2018-07-22 18:01:38
106852,1940.0,1975.0,1940,2016-03-03 00:00:00,2018-07-22 18:01:38
106857,1940.0,1975.0,1940,2009-08-17 00:00:00,2018-07-22 18:01:38
106858,1940.0,1975.0,1940,2004-04-21 00:00:00,2018-07-22 18:01:38
106859,1940.0,1975.0,1940,1993-09-02 00:00:00,2018-07-22 18:01:38
106862,1940.0,1975.0,1940,2004-08-19 00:00:00,2018-07-22 18:01:38
106863,2002.0,,2002,2001-07-06 00:00:00,2018-07-22 18:01:38
106864,2002.0,,2002,2018-06-25 00:00:00,2018-07-22 18:01:38
106865,2002.0,,2002,2017-07-20 00:00:00,2018-07-22 18:01:38
106866,2002.0,,2002,2017-05-08 00:00:00,2018-07-22 18:01:38
106867,2002.0,,2002,2011-12-30 00:00:00,2018-07-22 18:01:38
106868,2002.0,,2002,2018-06-28 00:00:00,2018-07-22 18:01:38
106870,2002.0,,2002,2018-06-26 00:00:00,2018-07-22 18:01:38
106871,2002.0,,2002,2012-01-31 00:00:00,2018-07-22 18:01:38
106872,2002.0,,2002,2018-04-20 00:00:00,2018-07-22 18:01:38
106873,2002.0,,2002,2018-06-28 00:00:00,2018-07-22 18:01:38
106875,2002.0,,2002,2001-12-12 00:00:00,2018-07-22 18:01:38
106876,2002.0,,2002,2016-12-08 00:00:00,2018-07-22 18:01:38
106877,2002.0,,2002,2016-12-08 00:00:00,2018-07-22 18:01:38
106879,2002.0,,2002,2009-09-15 00:00:00,2018-07-22 18:01:38
106880,2002.0,,2002,2016-12-08 00:00:00,2018-07-22 18:01:38
106881,2002.0,,2002,2001-07-05 00:00:00,2018-07-22 18:01:38
106882,2002.0,,2002,2001-06-07 00:00:00,2018-07-22 18:01:38
106883,2002.0,,2002,2001-10-16 00:00:00,2018-07-22 18:01:38
106884,2002.0,,2002,2001-09-10 00:00:00,2018-07-22 18:01:38
106885,2002.0,,2002,2002-03-27 00:00:00,2018-07-22 18:01:38
106886,2002.0,,2002,2001-12-22 00:00:00,2018-07-22 18:01:38
106889,2002.0,,2002,2017-04-04 00:00:00,2018-07-22 18:01:38
106890,2002.0,,2002,2017-04-10 00:00:00,2018-07-22 18:01:38
106891,2002.0,,2002,2018-05-21 00:00:00,2018-07-22 18:01:38
106892,2002.0,,2002,2006-08-21 00:00:00,2018-07-22 18:01:38
106893,2002.0,,2002,2013-11-08 00:00:00,2018-07-22 18:01:38
106894,2002.0,,2002,2018-07-09 00:00:00,2018-07-22 18:01:38
106896,2002.0,,2002,2018-06-27 00:00:00,2018-07-22 18:01:38
106897,2002.0,,2002,2017-12-04 00:00:00,2018-07-22 18:01:38
106898,2002.0,,2002,2001-12-12 00:00:00,2018-07-22 18:01:38
106899,2002.0,,2002,2009-07-01 00:00:00,2018-07-22 18:01:38
106900,2002.0,,2002,2018-02-27 00:00:00,2018-07-22 18:01:38
106901,2002.0,,2002,2017-08-14 00:00:00,2018-07-22 18:01:38
106902,2002.0,,2002,2009-05-29 00:00:00,2018-07-22 18:01:38
106903,2002.0,,2002,2017-04-03 00:00:00,2018-07-22 18:01:38
106904,2002.0,,2002,2001-06-27 00:00:00,2018-07-22 18:01:38
106905,2002.0,,2002,2017-12-04 00:00:00,2018-07-22 18:01:38
106906,1965.0,2006.0,1965,2007-01-08 00:00:00,2018-07-22 18:01:38
106907,1965.0,2006.0,2006,2017-05-15 00:00:00,2018-07-22 18:01:38
106908,1965.0,2006.0,2005,2015-05-28 00:00:00,2018-07-22 18:01:38
106910,1952.0,2007.0,1952,2007-07-24 00:00:00,2018-07-22 18:01:38
106912,1952.0,2007.0,1952,2018-04-18 00:00:00,2018-07-22 18:01:38
106913,1952.0,2007.0,1952,2011-10-27 00:00:00,2018-07-22 18:01:38
106915,1952.0,2007.0,1952,2018-04-18 00:00:00,2018-07-22 18:01:38
106916,1954.0,1980.0,1954,2009-04-17 00:00:00,2018-07-22 18:01:38
106917,1954.0,1980.0,1954,2002-01-29 00:00:00,2018-07-22 18:01:38
106918,1954.0,1980.0,1954,2008-09-29 00:00:00,2018-07-22 18:01:38
106919,1954.0,1980.0,1954,2003-10-09 00:00:00,2018-07-22 18:01:38
106920,1954.0,1980.0,1954,2003-03-17 00:00:00,2018-07-22 18:01:38
106921,1954.0,1980.0,1954,2010-12-21 00:00:00,2018-07-22 18:01:38
106922,1954.0,1980.0,1954,2007-06-25 00:00:00,2018-07-22 18:01:38
106925,1960.0,2005.0,1960,2005-10-11 00:00:00,2018-07-22 18:01:38
106926,1960.0,2005.0,1960,2006-05-25 00:00:00,2018-07-22 18:01:38
106927,1960.0,2005.0,1960,2006-06-26 00:00:00,2018-07-22 18:01:38
106928,1960.0,2005.0,1960,2005-11-14 00:00:00,2018-07-22 18:01:38
106931,1960.0,2005.0,1960,2005-11-14 00:00:00,2018-07-22 18:01:38
106932,1960.0,2005.0,1960,2016-06-16 00:00:00,2018-07-22 18:01:38
106933,1960.0,2005.0,1960,2005-10-03 00:00:00,2018-07-22 18:01:38
106934,1960.0,2005.0,1960,2017-08-04 00:00:00,2018-07-22 18:01:38
106935,1960.0,2005.0,1960,2005-10-03 00:00:00,2018-07-22 18:01:38
106936,1960.0,2005.0,1960,2006-01-24 00:00:00,2018-07-22 18:01:38
106937,1960.0,2005.0,1960,2005-12-19 00:00:00,2018-07-22 18:01:38
106938,1960.0,2005.0,1960,2006-04-06 00:00:00,2018-07-22 18:01:38
106939,1949.0,1991.0,1949,1992-11-02 00:00:00,2018-07-22 18:01:38
106940,1949.0,1991.0,1949,2007-05-23 00:00:00,2018-07-22 18:01:38
106941,1949.0,1991.0,1949,2010-01-29 00:00:00,2018-07-22 18:01:38
106942,1949.0,1991.0,1949,2005-09-12 00:00:00,2018-07-22 18:01:38
106944,1949.0,1991.0,1949,2005-05-12 00:00:00,2018-07-22 18:01:38
106945,1949.0,1991.0,1949,1998-01-15 00:00:00,2018-07-22 18:01:38
106947,1949.0,1991.0,1949,2004-02-09 00:00:00,2018-07-22 18:01:38
106950,1949.0,1991.0,1949,2014-03-04 00:00:00,2018-07-22 18:01:38
106951,1949.0,1991.0,1949,2017-08-03 00:00:00,2018-07-22 18:01:38
106952,1949.0,1991.0,1949,2017-04-27 00:00:00,2018-07-22 18:01:38
106954,1949.0,1991.0,1949,2018-04-26 00:00:00,2018-07-22 18:01:38
106955,1949.0,1991.0,1949,2017-08-11 00:00:00,2018-07-22 18:01:38
106956,1949.0,1991.0,1949,2006-05-19 00:00:00,2018-07-22 18:01:38
106957,1949.0,1991.0,1949,2005-03-23 00:00:00,2018-07-22 18:01:38
106960,1949.0,1991.0,1949,2006-04-05 00:00:00,2018-07-22 18:01:38
106961,1955.0,2005.0,1955,2015-07-09 00:00:00,2018-07-22 18:01:38
106962,1955.0,2005.0,1955,2007-05-11 00:00:00,2018-07-22 18:01:38
106963,1955.0,2005.0,1955,2017-01-03 00:00:00,2018-07-22 18:01:38
106964,1955.0,2005.0,1955,2006-05-16 00:00:00,2018-07-22 18:01:38
106965,1955.0,2005.0,1955,2016-05-06 00:00:00,2018-07-22 18:01:38
106991,1955.0,2005.0,1955,2009-02-26 00:00:00,2018-07-22 18:01:38
106993,1955.0,2005.0,1955,2006-02-10 00:00:00,2018-07-22 18:01:38
106994,1955.0,2005.0,1955,2005-09-29 00:00:00,2018-07-22 18:01:38
106995,1955.0,2005.0,1955,2015-05-22 00:00:00,2018-07-22 18:01:38
106996,1955.0,2005.0,1955,2012-06-27 00:00:00,2018-07-22 18:01:38
106997,1955.0,2005.0,1955,2006-06-01 00:00:00,2018-07-22 18:01:38
106998,1955.0,2005.0,1955,2012-03-30 00:00:00,2018-07-22 18:01:38
106999,1955.0,2005.0,1955,2012-04-11 00:00:00,2018-07-22 18:01:38
107000,1955.0,2005.0,1955,2005-10-19 00:00:00,2018-07-22 18:01:38
