,AYB,YR_RMDL,EYB,SALEDATE,GIS_LAST_MOD_DTTM
0,1910.0,1988.0,1972,2003-11-25 00:00:00,2018-07-22 18:01:43
2,1910.0,2009.0,1984,2016-06-21 00:00:00,2018-07-22 18:01:43
3,1900.0,2003.0,1984,2006-07-12 00:00:00,2018-07-22 18:01:43
5,1913.0,,1972,2010-02-26 00:00:00,2018-07-22 18:01:43
7,1906.0,2011.0,1972,2011-09-29 00:00:00,2018-07-22 18:01:43
8,1908.0,2008.0,1967,2018-05-03 00:00:00,2018-07-22 18:01:43
14,1917.0,2000.0,1967,2011-09-30 00:00:00,2018-07-22 18:01:43
16,1908.0,2006.0,1967,2010-11-04 00:00:00,2018-07-22 18:01:43
19,1908.0,2013.0,1969,2001-07-23 00:00:00,2018-07-22 18:01:43
20,1880.0,2009.0,1987,2016-01-12 00:00:00,2018-07-22 18:01:43
22,1880.0,2010.0,1967,2006-01-09 00:00:00,2018-07-22 18:01:43
23,1880.0,2010.0,1984,2012-08-21 00:00:00,2018-07-22 18:01:43
24,1880.0,2004.0,1967,2012-07-25 00:00:00,2018-07-22 18:01:43
25,1880.0,2010.0,1967,1996-04-02 00:00:00,2018-07-22 18:01:43
27,1900.0,1963.0,1967,2005-04-06 00:00:00,2018-07-22 18:01:43
29,1900.0,2014.0,1984,2013-12-11 00:00:00,2018-07-22 18:01:43
32,1890.0,2004.0,1960,1999-03-30 00:00:00,2018-07-22 18:01:43
37,1800.0,2009.0,1967,1997-10-20 00:00:00,2018-07-22 18:01:43
40,1800.0,1978.0,1957,2006-08-28 00:00:00,2018-07-22 18:01:43
41,1880.0,2016.0,1967,2016-09-14 00:00:00,2018-07-22 18:01:43
42,1890.0,2009.0,1967,2015-09-16 00:00:00,2018-07-22 18:01:43
43,1800.0,2006.0,1967,2018-03-30 00:00:00,2018-07-22 18:01:43
44,1800.0,2016.0,1967,2017-05-01 00:00:00,2018-07-22 18:01:43
45,1890.0,2009.0,1967,2001-11-08 00:00:00,2018-07-22 18:01:43
46,1800.0,2011.0,1964,2011-03-18 00:00:00,2018-07-22 18:01:43
48,1976.0,,1984,1999-12-03 00:00:00,2018-07-22 18:01:43
50,1976.0,,1984,2009-10-05 00:00:00,2018-07-22 18:01:43
52,1890.0,2006.0,1986,2006-08-08 00:00:00,2018-07-22 18:01:43
54,1900.0,2004.0,1960,1997-09-26 00:00:00,2018-07-22 18:01:43
55,1890.0,2007.0,1967,2004-12-20 00:00:00,2018-07-22 18:01:43
58,1885.0,2004.0,1967,2010-07-02 00:00:00,2018-07-22 18:01:43
59,1805.0,1974.0,1957,2000-03-01 00:00:00,2018-07-22 18:01:43
61,1890.0,2002.0,1967,2002-08-29 00:00:00,2018-07-22 18:01:43
62,1900.0,2002.0,1978,2014-03-05 00:00:00,2018-07-22 18:01:43
65,1885.0,2007.0,1972,1995-10-23 00:00:00,2018-07-22 18:01:43
66,1900.0,2000.0,1972,2012-11-02 00:00:00,2018-07-22 18:01:43
68,1885.0,2012.0,1969,2012-09-07 00:00:00,2018-07-22 18:01:43
69,1885.0,2009.0,1960,1999-02-03 00:00:00,2018-07-22 18:01:43
70,1885.0,2008.0,1969,2005-01-29 00:00:00,2018-07-22 18:01:43
71,1907.0,2005.0,1961,2007-03-21 00:00:00,2018-07-22 18:01:43
72,1907.0,2014.0,1964,2014-10-08 00:00:00,2018-07-22 18:01:43
73,1907.0,2011.0,1964,2009-06-03 00:00:00,2018-07-22 18:01:43
76,1979.0,,1990,2005-08-08 00:00:00,2018-07-22 18:01:43
77,1979.0,,1985,1995-11-07 00:00:00,2018-07-22 18:01:43
78,1979.0,2012.0,1990,2013-10-30 00:00:00,2018-07-22 18:01:43
81,1979.0,2014.0,1990,2017-08-24 00:00:00,2018-07-22 18:01:43
82,1979.0,2007.0,1990,2010-10-29 00:00:00,2018-07-22 18:01:43
85,1865.0,2012.0,1960,2005-05-13 00:00:00,2018-07-22 18:01:43
86,1870.0,2011.0,1972,2010-09-24 00:00:00,2018-07-22 18:01:43
89,1865.0,1990.0,1969,2005-03-15 00:00:00,2018-07-22 18:01:43
90,1940.0,,1957,2017-11-08 00:00:00,2018-07-22 18:01:43
91,1905.0,2008.0,1982,2015-11-30 00:00:00,2018-07-22 18:01:43
92,1909.0,,1957,1995-08-01 00:00:00,2018-07-22 18:01:43
96,1906.0,2004.0,1969,2014-08-19 00:00:00,2018-07-22 18:01:43
97,1900.0,2013.0,1970,2002-12-18 00:00:00,2018-07-22 18:01:43
98,1951.0,,1975,2005-04-05 00:00:00,2018-07-22 18:01:43
99,1890.0,,1970,2017-12-28 00:00:00,2018-07-22 18:01:43
101,1887.0,2015.0,1970,1997-11-04 00:00:00,2018-07-22 18:01:43
102,1916.0,2009.0,1978,2008-04-15 00:00:00,2018-07-22 18:01:43
103,1907.0,2000.0,1963,2017-12-28 00:00:00,2018-07-22 18:01:43
105,1925.0,2005.0,1972,2016-01-19 00:00:00,2018-07-22 18:01:43
106,1910.0,2003.0,1972,2011-09-13 00:00:00,2018-07-22 18:01:43
112,1897.0,2007.0,1987,2007-12-13 00:00:00,2018-07-22 18:01:43
114,1897.0,2007.0,1987,2005-10-18 00:00:00,2018-07-22 18:01:43
115,1897.0,2009.0,1987,2013-06-21 00:00:00,2018-07-22 18:01:43
116,1895.0,2001.0,1984,2011-07-12 00:00:00,2018-07-22 18:01:43
117,1897.0,2009.0,1987,2009-12-22 00:00:00,2018-07-22 18:01:43
118,1897.0,2004.0,2004,2018-04-19 00:00:00,2018-07-22 18:01:43
119,1883.0,1935.0,1972,2017-07-31 00:00:00,2018-07-22 18:01:43
123,1880.0,1984.0,1972,2009-04-01 00:00:00,2018-07-22 18:01:43
124,1870.0,2010.0,1984,2014-04-14 00:00:00,2018-07-22 18:01:43
127,1922.0,2001.0,1972,2008-06-06 00:00:00,2018-07-22 18:01:43
129,1908.0,,1964,2005-12-20 00:00:00,2018-07-22 18:01:43
130,1908.0,2004.0,1969,2012-02-29 00:00:00,2018-07-22 18:01:43
131,1908.0,2005.0,1969,2018-05-01 00:00:00,2018-07-22 18:01:43
132,1908.0,2006.0,1967,1994-12-23 00:00:00,2018-07-22 18:01:43
133,1908.0,2008.0,1967,2006-05-04 00:00:00,2018-07-22 18:01:43
134,1908.0,2013.0,1967,2013-07-19 00:00:00,2018-07-22 18:01:43
135,1908.0,2015.0,1967,2015-04-22 00:00:00,2018-07-22 18:01:43
136,1908.0,,1957,2000-02-22 00:00:00,2018-07-22 18:01:43
137,1906.0,2013.0,1972,2011-08-19 00:00:00,2018-07-22 18:01:43
138,1906.0,2015.0,1972,2017-04-28 00:00:00,2018-07-22 18:01:43
140,1906.0,2010.0,1963,2010-05-19 00:00:00,2018-07-22 18:01:43
142,1906.0,2007.0,1972,2015-08-24 00:00:00,2018-07-22 18:01:43
146,1939.0,2004.0,1985,2015-10-30 00:00:00,2018-07-22 18:01:43
148,1939.0,2007.0,1980,2007-11-16 00:00:00,2018-07-22 18:01:43
149,1939.0,2004.0,1967,2017-07-25 00:00:00,2018-07-22 18:01:43
150,1880.0,2004.0,1967,2012-02-17 00:00:00,2018-07-22 18:01:43
151,1885.0,1984.0,1957,2014-12-23 00:00:00,2018-07-22 18:01:43
152,1910.0,1996.0,1967,2008-01-18 00:00:00,2018-07-22 18:01:43
153,1900.0,,1960,2017-11-09 00:00:00,2018-07-22 18:01:43
154,1900.0,2007.0,1972,2017-04-28 00:00:00,2018-07-22 18:01:43
156,1900.0,2001.0,1969,2001-06-27 00:00:00,2018-07-22 18:01:43
157,1904.0,2004.0,1969,2013-08-06 00:00:00,2018-07-22 18:01:43
158,1900.0,2004.0,1969,2005-05-25 00:00:00,2018-07-22 18:01:43
160,1900.0,2003.0,1969,2016-09-21 00:00:00,2018-07-22 18:01:43
161,1880.0,2013.0,1964,2017-07-10 00:00:00,2018-07-22 18:01:43
163,1880.0,2011.0,1967,2010-10-28 00:00:00,2018-07-22 18:01:43
165,1890.0,2005.0,1957,1993-05-26 00:00:00,2018-07-22 18:01:43
169,1911.0,2004.0,1957,1997-03-04 00:00:00,2018-07-22 18:01:43
172,1890.0,2009.0,1969,2010-06-02 00:00:00,2018-07-22 18:01:43
173,1900.0,2016.0,1972,2017-07-25 00:00:00,2018-07-22 18:01:43
175,1900.0,2004.0,1963,1994-12-12 00:00:00,2018-07-22 18:01:43
177,1900.0,,1963,2018-07-05 00:00:00,2018-07-22 18:01:43
180,1900.0,2007.0,1969,2012-08-02 00:00:00,2018-07-22 18:01:43
181,1976.0,2004.0,1984,2009-09-24 00:00:00,2018-07-22 18:01:43
183,1880.0,2004.0,1967,2004-06-10 00:00:00,2018-07-22 18:01:43
